# Original to remapped node ID mapping
# remapped_id, original_id
1,24325
2,24394
3,40517
4,58507
5,3737
6,3905
7,7237
8,12715
9,13648
10,13659
11,13664
12,14304
13,14823
14,17370
15,18956
16,19615
17,19660
18,21669
19,23106
20,24832
21,26021
22,26363
23,28240
24,35376
25,35424
26,36383
27,36860
28,37616
29,37932
30,39984
31,41687
32,44934
33,48192
34,51464
35,55079
36,59077
37,59471
38,59870
39,61742
40,61796
41,62227
42,65346
43,66689
44,67851
45,24897
46,30545
47,42653
48,1182
49,3175
50,5379
51,33426
52,34071
53,36192
54,39688
55,63113
56,65086
57,66829
58,68041
59,554
60,3088
61,4503
62,4521
63,6142
64,9117
65,11180
66,12981
67,13769
68,20394
69,21477
70,22916
71,24295
72,28268
73,33726
74,40894
75,44594
76,45385
77,46139
78,49541
79,50970
80,53159
81,55835
82,56948
83,57628
84,60251
85,60797
86,67012
87,1441
88,3306
89,15089
90,22990
91,25318
92,25406
93,25750
94,25902
95,28406
96,28440
97,29941
98,33454
99,39659
100,40187
101,42018
102,59205
103,1444
104,4189
105,5338
106,12698
107,14425
108,15946
109,19172
110,22014
111,29017
112,30982
113,34121
114,35725
115,35863
116,40691
117,41588
118,45556
119,52121
120,52622
121,56995
122,57145
123,3029
124,39076
125,57738
126,2394
127,2470
128,6975
129,17554
130,17702
131,18533
132,20532
133,22552
134,27926
135,29761
136,33137
137,34596
138,35059
139,35280
140,47226
141,54118
142,60926
143,61918
144,65338
145,66820
146,66821
147,67820
148,4070
149,17141
150,25442
151,30291
152,37380
153,46598
154,51911
155,53676
156,54556
157,57682
158,57739
159,58198
160,6466
161,9207
162,9211
163,12067
164,16164
165,17755
166,27312
167,28209
168,32800
169,36011
170,36019
171,38656
172,39723
173,54519
174,55319
175,57174
176,58769
177,64720
178,10849
179,14456
180,15993
181,21895
182,28970
183,47703
184,54274
185,66739
186,67464
187,11090
188,1227
189,3826
190,1693
191,2317
192,2658
193,5187
194,6647
195,7522
196,10597
197,11443
198,12818
199,13093
200,16521
201,20994
202,21044
203,24959
204,26042
205,26654
206,27246
207,28320
208,28534
209,33200
210,33847
211,34305
212,34364
213,34891
214,35247
215,42581
216,48773
217,49929
218,51277
219,54369
220,54424
221,54785
222,58449
223,68711
224,2416
225,7859
226,10425
227,10740
228,16455
229,17329
230,19740
231,21130
232,22838
233,23448
234,32368
235,35236
236,37482
237,38256
238,39608
239,42595
240,46876
241,48022
242,48024
243,49794
244,50192
245,51707
246,53316
247,55735
248,56559
249,60516
250,62245
251,63938
252,63966
253,66135
254,66505
255,12081
256,6326
257,14035
258,15238
259,21834
260,42856
261,65697
262,4305
263,19921
264,20449
265,23939
266,24872
267,29334
268,29950
269,40924
270,42260
271,50213
272,55575
273,64612
274,11580
275,2009
276,7346
277,26913
278,30160
279,40852
280,52827
281,65137
282,2834
283,5029
284,9390
285,9605
286,10631
287,14245
288,15197
289,19734
290,26554
291,27652
292,29181
293,35372
294,45521
295,46695
296,47357
297,55570
298,58188
299,65619
300,67802
301,2424
302,12015
303,18866
304,19102
305,22790
306,31944
307,33090
308,61192
309,62514
310,20338
311,1268
312,5201
313,11203
314,23485
315,23499
316,26530
317,35178
318,37066
319,45079
320,50437
321,51791
322,56424
323,56504
324,2619
325,13939
326,15106
327,15460
328,26757
329,37799
330,43482
331,43551
332,51109
333,53441
334,65621
335,35835
336,1481
337,2934
338,3624
339,6495
340,10170
341,26220
342,30361
343,31240
344,38074
345,40907
346,43740
347,43776
348,48411
349,48823
350,51246
351,57295
352,58006
353,58748
354,61364
355,67569
356,36679
357,290
358,5800
359,5997
360,8188
361,8660
362,11040
363,11442
364,18109
365,24259
366,31271
367,31612
368,31990
369,32803
370,33029
371,34926
372,44572
373,50972
374,51763
375,64787
376,457
377,1025
378,4087
379,6671
380,7127
381,7272
382,16522
383,17667
384,18678
385,20519
386,22107
387,27587
388,27910
389,36907
390,39402
391,39803
392,44820
393,46237
394,47869
395,48851
